"Ano";"Nome do autor";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Valor empenhado";"Valor liquidado";"Valor pago";
"2022";"RODRIGO MAIA";"0007";"CONCEIÇÃO DE MACABU - RJ";"Saúde";"Assistência hospitalar e ambulatorial";"184,00";"184,00";"184,00";
"2022";"RELATOR GERAL";"0307";"Nacional";"Indústria";"Recursos hídricos";"3.293,75";"3.293,75";"3.293,75";
"2022";"WALTER ALVES";"0007";"RIO GRANDE DO NORTE (UF)";"Educação";"Ensino superior";"3.752,42";"912,42";"912,42";
"2022";"AUGUSTO COUTINHO";"0009";"PERNAMBUCO (UF)";"Urbanismo";"Assistência comunitária";"4.200,00";"0,00";"0,00";
"2022";"PADRE JOAO";"0005";"MINAS GERAIS (UF)";"Educação";"Ensino superior";"9.637,88";"9.637,88";"6.849,88";
"2022";"LUIZAO GOULART";"0003";"RIO BRANCO DO SUL - PR";"Saúde";"Assistência hospitalar e ambulatorial";"11.268,00";"11.268,00";"11.268,00";
"2022";"TIRIRICA";"0004";"SÃO PAULO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"15.390,00";"15.390,00";"15.390,00";
"2022";"ELIANE NOGUEIRA";"0003";"Nacional";"Defesa nacional";"Normatização e fiscalização";"18.900,00";"18.900,00";"18.900,00";
"2022";"ALICE PORTUGAL";"0011";"BAHIA (UF)";"Educação";"Ensino superior";"19.354,00";"0,00";"0,00";
"2022";"DANIELA DO WAGUINHO";"0006";"RIO DE JANEIRO (UF)";"Saúde";"Atenção básica";"23.827,00";"23.827,00";"23.827,00";
"2022";"ZE VITOR";"0008";"MINAS GERAIS (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"27.255,00";"27.255,00";"27.255,00";
"2022";"ROSANA VALLE";"0017";"Nacional";"Agricultura";"Difusão do conhecimento científico e tecnológico";"29.820,90";"895,00";"0,00";
"2022";"LUIZIANNE LINS";"0006";"DISTRITO FEDERAL (UF)";"Educação";"Ensino superior";"30.000,00";"30.000,00";"28.000,00";
"2022";"CARMEN ZANOTTO";"0004";"DISTRITO FEDERAL (UF)";"Educação";"Ensino superior";"30.000,00";"28.500,00";"19.750,00";
"2022";"LEO DE BRITO";"0006";"ACRE (UF)";"Cultura";"Patrimônio histórico, artístico e arqueológico";"30.000,00";"21.000,00";"0,00";
"2022";"DAVID MIRANDA";"0014";"RIO DE JANEIRO (UF)";"Educação";"Ensino superior";"30.163,00";"0,00";"0,00";
"2022";"ODAIR CUNHA";"0006";"MINAS GERAIS (UF)";"Educação";"Ensino profissional";"31.200,96";"0,00";"0,00";
"2022";"BANCADA DO DISTRITO FEDERAL";"0007";"DISTRITO FEDERAL (UF)";"Segurança pública";"Policiamento";"31.250,00";"0,00";"0,00";
"2022";"WELLINGTON FAGUNDES";"0006";"MATO GROSSO (UF)";"Ciência e Tecnologia";"Desenvolvimento científico";"32.083,00";"0,00";"0,00";
"2022";"JOSIVALDO JP";"0010";"MARANHÃO (UF)";"Educação";"Ensino profissional";"32.400,00";"0,00";"0,00";
"2022";"DR. FREDERICO";"0003";"MINAS GERAIS (UF)";"Urbanismo";"Assistência comunitária";"32.727,45";"8.043,50";"8.043,50";
"2022";"JULIO CESAR RIBEIRO";"0019";"Exterior";"Relações exteriores";"Relações diplomáticas";"32.973,12";"32.973,12";"32.973,12";
"2022";"JUNINHO DO PNEU";"0019";"CACHOEIRAS DE MACACU - RJ";"Saúde";"Assistência hospitalar e ambulatorial";"36.675,00";"36.675,00";"36.675,00";
"2022";"LUIS MIRANDA";"0001";"Nacional";"Segurança pública";"Policiamento";"37.500,00";"0,00";"0,00";
"2022";"CORONEL TADEU";"0005";"SÃO PAULO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"38.206,00";"38.206,00";"38.206,00";
"2022";"CARLOS JORDY";"0001";"RIO DE JANEIRO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"38.600,00";"38.600,00";"38.600,00";
"2022";"PROFESSOR ALCIDES";"0002";"GOIÁS (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"38.807,00";"38.807,00";"38.807,00";
"2022";"LEANDRE";"0007";"DISTRITO FEDERAL (UF)";"Educação";"Ensino superior";"39.000,00";"37.350,00";"31.350,00";
"2022";"ALESSANDRO VIEIRA";"0010";"SERGIPE (UF)";"Educação";"Educação básica";"40.800,00";"0,00";"0,00";
"2022";"GENERAL GIRAO";"0005";"RIO GRANDE DO NORTE (UF)";"Urbanismo";"Assistência comunitária";"42.500,00";"0,00";"0,00";
"2022";"ROGERIO CORREIA";"0009";"MINAS GERAIS (UF)";"Educação";"Ensino profissional";"42.625,00";"17.362,50";"13.287,50";
"2022";"ALCEU MOREIRA";"0006";"RIO GRANDE DO SUL (UF)";"Educação";"Educação básica";"47.860,44";"0,00";"0,00";
"2022";"CAMILO CAPIBERIBE";"0008";"AMAPÁ (UF)";"Urbanismo";"Assistência comunitária";"49.500,00";"49.500,00";"49.500,00";
"2022";"ELIAS VAZ";"0002";"GOIÁS (UF)";"Saúde";"Atenção básica";"49.993,00";"49.993,00";"49.993,00";
"2022";"PROFESSORA ROSA NEIDE";"0005";"DISTRITO FEDERAL (UF)";"Educação";"Ensino superior";"50.000,00";"50.000,00";"50.000,00";
"2022";"EFRAIM FILHO";"0009";"POÇO DE JOSÉ DE MOURA - PB";"Cultura";"Difusão cultural";"50.000,00";"0,00";"0,00";
"2022";"DULCE MIRANDA";"0003";"DISTRITO FEDERAL (UF)";"Educação";"Ensino superior";"50.000,00";"49.375,00";"37.875,00";
"2022";"ERIKA KOKAY";"0003";"Nacional";"Educação";"Ensino superior";"50.000,00";"45.000,00";"43.000,00";
"2022";"ROSANGELA GOMES";"0012";"Nacional";"Defesa nacional";"Administração geral";"50.000,00";"50.000,00";"50.000,00";
"2022";"TEREZA NELMA";"0008";"Nacional";"Educação";"Ensino superior";"50.000,00";"50.000,00";"39.140,00";
"2022";"JANDIRA FEGHALI";"0023";"RIO DE JANEIRO (UF)";"Saúde";"Difusão do conhecimento científico e tecnológico";"50.000,00";"0,00";"0,00";
"2022";"WOLNEY QUEIROZ";"0009";"PERNAMBUCO (UF)";"Segurança pública";"Policiamento";"50.000,00";"0,00";"0,00";
"2022";"STYVENSON VALENTIM";"0015";"RIO GRANDE DO NORTE (UF)";"Comércio e serviços";"Promoção comercial ";"50.000,00";"0,00";"0,00";
"2022";"CHRIS TONIETTO";"0001";"RIO DE JANEIRO (UF)";"Saúde";"Atenção básica";"52.593,00";"52.593,00";"52.593,00";
"2022";"ALEXANDRE FROTA";"0009";"SÃO PAULO - SP";"Defesa nacional";"Atenção básica";"53.314,88";"52.189,34";"44.509,34";
"2022";"RAUL HENRY";"0006";"PERNAMBUCO (UF)";"Agricultura";"Abastecimento";"53.946,92";"24.901,68";"1.734,00";
"2022";"WELLINGTON ROBERTO";"0011";"Nacional";"Saúde";"Assistência hospitalar e ambulatorial";"54.141,00";"0,00";"0,00";
"2022";"GURGEL";"0017";"APERIBÉ - RJ";"Saúde";"Assistência hospitalar e ambulatorial";"54.320,00";"54.320,00";"54.320,00";
